,driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58
0,1,,[],[],[],[],[],[],[],[],[],[],[],[],[20],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[17, 4]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1,2,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[3, 5, 815, 16, 155]",[],[],[],[],[],[],"[3, 22]",[],[],[],[],[],[67],[],[22],[],[],[],[],"[814, 22]",[],[],[],[22],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[]
2,3,,[],[],[],[],[],[],[],[],[],[],[4],[],[],[153],[],"[2, 67, 814, 22, 153]",[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,4,,[155],[],[],[3],[],[],[],[],[],"[17, 13]",[],"[3, 67, 13, 814, 16, 153, 155]",[],[18],[808],[],[],[],[],[],[],[],[],[],[17],[],"[18, 13]",[],[],[17],[808],[],[],[],[1],[],[],[],[],[],[],"[808, 17]",[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[]
4,5,,[],[],[],[],[],[],[],[],[813],[],[],[22],[],[],[],[],"[10, 15]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
5,10,,[],[],[],[],[],[],[816],[],[813],[],[],[],[],[],[15],[5],[],[],"[5, 30]",[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[]
6,13,,[],[],[],[],[],[],[],[],[],[],[],[],"[3, 67, 814, 16, 153, 155]",[],[808],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[155],[],[],[],[],[18],[],[],[],[],[],[],[],[],[],[],[],"[67, 155]",[],[],[],[],[],[],[],[],[]
7,15,,[],[],[],[],[],[],[],[],[813],[],[],[],[],[],[],"[5, 30]",[],[],[5],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[]
8,16,,[],[],[],[],[],[],[],[],[814],[],[4],[],[],[67],[],"[153, 2, 814, 815]",[],[18],[],[],[],"[3, 22]",[],[],[],[],[],"[153, 67]",[],[],[155],[],[],[],[],[],"[153, 2, 814, 22]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[153],[],[],[]
9,17,,[],[],[],[],[],[],[],[],[],[],"[4, 808, 13, 18, 153]",[],[],[],"[808, 1]",[],[],[],[],[],[],[],[],[],[],"[18, 4, 13]",[],[],[],[],[],[808],[],[],[1],[],[],[],[],[],"[808, 4]",[],[],[],[],[],[],[],[],[],[1],[],[],[],[],[],[]
10,18,,[],[],[],[],[],[],[],[],[],"[17, 13]",[],[],[],[],[808],[],[],[],"[3, 67, 814, 16, 22, 153, 155]",[],[],[],[],[],[17],[],[],[13],[],[],[],[],[],[],[808],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,20,,[],[],[],[],[],[],[],[],[],[],[],[],[],"[808, 17]",[1],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
12,22,,"[816, 10, 15]","[813, 5]",[],[],[815],[],[],[],[],[],[],[],"[2, 5, 814, 815]",[67],"[16, 3, 155]",[],[],[18],[],[155],[],[],[815],[],[],[],[],[],[2],[],[],[],[],"[153, 2]",[],[],[],[2],[],[],[],[],[],[],[],[2],[],[],[],[],[],[],[],[],[],[],[]
13,153,,"[2, 5, 10, 813, 815, 15, 816, 22]","[16, 67]","[155, 814]",[3],[],[],[],[],[],[17],[],[],[],[],[3],[],"[2, 67, 814, 815, 16]",[18],[],[],"[3, 155, 22]",[],[],[],[],[],[],[],[],[],[155],[],[],[],"[2, 814, 22]",[],[],[],[],[],[16],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,155,,[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[],"[2, 67, 814, 815, 22, 153]",[],[18],[],[],[],"[153, 3]",[],[],[],[],[],[],[],[13],[],"[67, 814, 815, 16, 153]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[],[],[],[],[],[],[],[],[],[]
15,30,,[],[],[],[],[],[],[],[],[813],[],[],[],[816],[],[15],[],"[816, 10]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,808,,[],[],[],[],[],[],[],[],[],[17],[],[],"[17, 20]",[],[],"[18, 4, 13]",[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[18],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,813,,[],[],[],[5],[],[],[],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,814,,[],[],[],[],[],[],[],[],[],[],[4],[],[],"[2, 67, 5, 815]","[16, 3, 155]",[],[],[18],[],[],[],"[3, 22]",[],[],[],[],[],[67],[],[],[155],[],[],[],[],"[16, 153, 2, 22]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
19,815,,[],[],[],[],[],[],[],[],[813],[],[],[22],[],"[2, 67]",[],[],[],[],[],[],[],"[3, 22]",[],[],[],[],[22],[],[2],[],[155],[],[],[153],[814],[16],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[67],[],[],[],[],[]
20,816,,[],[],[],[],[],[],[],[],[813],[],[],[],[],[],[],[30],[],[10],"[5, 30]",[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[]
21,67,,[],[],[],[],[],[814],[],[],[],[],[4],[],[],[],"[3, 814, 815, 16, 155]",[],[],[18],[],[],[],"[3, 22]",[],[153],[],[],[],[],"[16, 153, 2, 814]",[],[155],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[],[],[],[],[],[],[],[],[],[]
